DATE,MODEL,IC,T
2004-11-01,AdaBoost,0.3291268543808661,2.987345847922556e-31
2004-11-01,CTEF,0.3467964795221541,2.6098424316724524e-34
2004-11-01,DecisionTree,0.3061954897758607,1.2685840744320244e-74
2004-11-01,LinearRegression,0.294910528655349,9.700131839332158e-25
2004-12-01,AdaBoost,0.25079434938781275,2.1823754277112215e-18
2004-12-01,CTEF,0.24331274622001275,3.0711593458595497e-17
2004-12-01,DecisionTree,0.2556123468473592,2.303141907134419e-22
2004-12-01,LinearRegression,0.24494269690761827,1.8888440591013534e-17
2005-01-01,AdaBoost,0.3777604401642604,1.5454983902155352e-41
2005-01-01,CTEF,0.4838774529345816,6.190780042640817e-71
2005-01-01,DecisionTree,0.3097282824680196,2.2545093440828038e-80
2005-01-01,LinearRegression,0.4108574065671712,3.4044405403867058e-49
2005-02-01,AdaBoost,0.37718627384208053,2.420068021121832e-42
2005-02-01,CTEF,0.3777778069388279,7.681570471474265e-42
2005-02-01,DecisionTree,0.38157622493656146,3.160372340203115e-52
2005-02-01,LinearRegression,0.3820452995496926,7.944352663749634e-43
2005-03-01,AdaBoost,0.36651085281712664,7.433034438339872e-40
2005-03-01,CTEF,0.2834802507242538,3.224272340637651e-23
2005-03-01,DecisionTree,0.3135274800244212,7.284028194228449e-84
2005-03-01,LinearRegression,0.35842636011156154,2.8959395985449566e-37
2005-04-01,AdaBoost,0.2965735012170083,6.947700194189626e-26
2005-04-01,CTEF,0.3047001133066163,4.279409512015747e-27
2005-04-01,DecisionTree,0.3131106672000506,4.6389258402607916e-30
2005-04-01,LinearRegression,0.32873355660159065,1.465181275278746e-31
2005-05-01,AdaBoost,0.24424386957126334,2.6068554464926636e-17
2005-05-01,CTEF,0.28570395294553896,7.325958604484622e-23
2005-05-01,DecisionTree,0.30348282729204346,6.275042515672981e-75
2005-05-01,LinearRegression,0.23948248987378637,2.722749981206884e-16
2005-06-01,AdaBoost,0.3813710091740462,6.238071027118683e-43
2005-06-01,CTEF,0.37011641875996015,7.811076168115927e-40
2005-06-01,DecisionTree,0.30706172177579816,3.1312542456947445e-80
2005-06-01,LinearRegression,0.3462852028815816,1.1488622231388833e-34
2005-07-01,AdaBoost,0.26966324794718183,1.5848156869814738e-21
2005-07-01,CTEF,0.3026724522500467,1.0401240523241866e-26
2005-07-01,DecisionTree,0.29654406269978,7.40566086399342e-75
2005-07-01,LinearRegression,0.21487658149645464,7.486205593946339e-14
2005-08-01,AdaBoost,0.3175315041980538,1.1175650011792752e-29
2005-08-01,CTEF,0.34020054124360627,6.327423101763668e-34
2005-08-01,DecisionTree,0.3109024959891556,6.543580767897601e-81
2005-08-01,LinearRegression,0.29575509483622686,1.4463375978075667e-25
2005-09-01,AdaBoost,0.4186941709958918,1.272029854470867e-52
2005-09-01,CTEF,0.3968149538368277,1.8609651395122514e-46
2005-09-01,DecisionTree,0.3174430610491989,5.345688665578366e-84
2005-09-01,LinearRegression,0.3533119201837879,2.3263736345716046e-36
2005-10-01,AdaBoost,0.2371953663008593,4.0874570912406115e-17
2005-10-01,CTEF,0.28731753202630755,2.209890917897328e-24
2005-10-01,DecisionTree,0.3106206111536844,1.233391719464844e-81
2005-10-01,LinearRegression,0.2464542508637652,4.186444801773302e-18
2005-11-01,AdaBoost,0.35946732829416506,3.2050263688556025e-38
2005-11-01,CTEF,0.29878621821464096,8.458395678360635e-26
2005-11-01,DecisionTree,0.30782854618654887,6.082596242636629e-78
2005-11-01,LinearRegression,0.25276784747926934,1.2729902870468888e-18
2005-12-01,AdaBoost,0.39293176895166493,6.748882796771375e-46
2005-12-01,CTEF,0.33967419382994496,1.6850206824988296e-33
2005-12-01,DecisionTree,0.34617829939018735,1.3565983315396437e-57
2005-12-01,LinearRegression,0.2592166147114582,1.3942456242002355e-19
2006-01-01,AdaBoost,0.45911953821772294,1.7600589239348949e-63
2006-01-01,CTEF,0.3405468280439542,2.7390264716590147e-33
2006-01-01,DecisionTree,0.30946818765738004,8.967197506535475e-79
2006-01-01,LinearRegression,0.32462420836690437,3.52904343516901e-30
2006-02-01,AdaBoost,0.22765310278230166,2.0224833323794178e-15
2006-02-01,CTEF,0.3041241266083687,9.223753632893073e-27
2006-02-01,DecisionTree,0.2642069852120229,2.180022249295313e-32
2006-02-01,LinearRegression,0.2844723146356319,1.970139518328787e-23
2006-03-01,AdaBoost,0.3759940508153269,2.745791675478778e-41
2006-03-01,CTEF,0.28698537494296106,1.2719771783046947e-23
2006-03-01,DecisionTree,0.35821194915308835,2.1858032525916974e-44
2006-03-01,LinearRegression,0.2916440265785297,2.2876060521319954e-24
2006-04-01,AdaBoost,0.31229669951353256,4.6131501398347e-28
2006-04-01,CTEF,0.40253428384335654,5.096023025364803e-47
2006-04-01,DecisionTree,0.3257378642414167,2.1327874116391366e-33
2006-04-01,LinearRegression,0.34424091417338437,8.151759220179893e-34
2006-05-01,AdaBoost,0.2095331799112487,2.8381147646371586e-13
2006-05-01,CTEF,0.31359381684395277,2.8334573683610908e-28
2006-05-01,DecisionTree,0.2220359773235498,7.098099960452541e-15
2006-05-01,LinearRegression,0.3311416501143198,1.5109140835017926e-31
2006-06-01,AdaBoost,0.32339054443417153,1.2606203159907173e-31
2006-06-01,CTEF,0.3536677941573517,3.883420469422859e-36
2006-06-01,DecisionTree,0.30663112731393954,1.3405797105398306e-45
2006-06-01,LinearRegression,0.39073526482341797,1.51337293262786e-44
2006-07-01,AdaBoost,0.26635888174916417,2.4974973908178966e-21
2006-07-01,CTEF,0.31503967139432787,2.801117433375156e-29
2006-07-01,DecisionTree,0.3094783824567831,3.634342743669868e-80
2006-07-01,LinearRegression,0.3929162936871576,2.408413896726077e-46
2006-08-01,AdaBoost,0.1984727569670018,1.587461328545624e-12
2006-08-01,CTEF,0.15859708333760486,4.988641999401722e-08
2006-08-01,DecisionTree,0.29790530412497307,2.86306708679492e-76
2006-08-01,LinearRegression,0.22642128990945626,4.328914022363039e-15
2006-09-01,AdaBoost,0.23117256879652417,8.829994374152955e-17
2006-09-01,CTEF,0.2546042102524834,1.2143009830305576e-18
2006-09-01,DecisionTree,0.29833621307699704,1.6366195777986734e-75
2006-09-01,LinearRegression,0.3084797873438118,4.2502790232721176e-27
2006-10-01,AdaBoost,0.26773848061279415,8.975567075263806e-23
2006-10-01,CTEF,0.28146027850774996,2.9364956072310654e-23
2006-10-01,DecisionTree,0.2944769543598297,1.4006561826321046e-75
2006-10-01,LinearRegression,0.28664658484412475,4.273761039253381e-24
2006-11-01,AdaBoost,0.29970513883286065,4.4594237256154736e-27
2006-11-01,CTEF,0.2887910758635769,3.118128448674856e-24
2006-11-01,DecisionTree,0.3029452876708402,2.000794801020739e-79
2006-11-01,LinearRegression,0.24102603702464845,4.3194187403381466e-17
2006-12-01,AdaBoost,0.28432729410042235,6.4433477268081165e-24
2006-12-01,CTEF,0.31556231493200965,6.064289829709465e-29
2006-12-01,DecisionTree,0.28604278352867035,6.734844728991852e-70
2006-12-01,LinearRegression,0.3735411258075092,6.263940120599531e-41
2007-01-01,AdaBoost,0.22405295459667304,6.236767635416428e-15
2007-01-01,CTEF,0.25342903366721714,1.4269346761711173e-18
2007-01-01,DecisionTree,0.29422280023763486,2.4073724931261746e-75
2007-01-01,LinearRegression,0.25794635213181644,3.3540478637885283e-19
2007-02-01,AdaBoost,0.29762353889699616,7.715743616997992e-26
2007-02-01,CTEF,0.3051512721407563,1.1282755242056247e-26
2007-02-01,DecisionTree,0.2957258906019493,1.2512471920976724e-77
2007-02-01,LinearRegression,0.305472035569567,1.0295656790915205e-26
2007-03-01,AdaBoost,0.3110124925256948,1.1932857312997012e-28
2007-03-01,CTEF,0.3305617090420103,1.164483378022554e-31
2007-03-01,DecisionTree,0.2886868569094625,1.4605614202594306e-74
2007-03-01,LinearRegression,0.3259073886968638,9.6497010224793e-31
2007-04-01,AdaBoost,0.28743866698864146,7.210103405449129e-24
2007-04-01,CTEF,0.33001939103108524,3.6589819320396854e-31
2007-04-01,DecisionTree,0.29040278663821906,2.528830125058479e-74
2007-04-01,LinearRegression,0.2708386069710523,4.816538650207436e-21
2007-05-01,AdaBoost,0.3146965884589842,2.8265672481634678e-28
2007-05-01,CTEF,0.33316759786404426,1.850826707417226e-31
2007-05-01,DecisionTree,0.3319136204260577,6.936303164130867e-38
2007-05-01,LinearRegression,0.27990127717905167,3.1929240084684133e-22
2007-06-01,AdaBoost,0.36425427028545354,4.261136479948442e-38
2007-06-01,CTEF,0.3517845618293702,5.873371694382343e-35
2007-06-01,DecisionTree,0.2870390043313022,1.6199526579311017e-70
2007-06-01,LinearRegression,0.32114824766987465,5.17340714591612e-29
2007-07-01,AdaBoost,0.3111682587562511,4.0009377186501305e-29
2007-07-01,CTEF,0.3250007554476136,7.748135014852515e-30
2007-07-01,DecisionTree,0.2908347868963123,8.881536001385087e-73
2007-07-01,LinearRegression,0.3082622106816836,8.176307077174716e-27
2007-08-01,AdaBoost,0.20094443977536605,1.107875083770261e-12
2007-08-01,CTEF,0.3029573281341717,2.057406625430686e-27
2007-08-01,DecisionTree,0.29109745966387834,1.4388290331771565e-77
2007-08-01,LinearRegression,0.2887544264018485,6.560003335145859e-25
2007-09-01,AdaBoost,0.370207236357423,3.450786545636954e-42
2007-09-01,CTEF,0.38587275981119534,1.2282627069952011e-45
2007-09-01,DecisionTree,0.2964180638158786,5.407442029303364e-76
2007-09-01,LinearRegression,0.32751651314569324,2.0162330097775828e-32
2007-10-01,AdaBoost,0.4078561075458056,3.0057153197928516e-52
2007-10-01,CTEF,0.3020059734750152,1.298930071613542e-27
2007-10-01,DecisionTree,0.2903970351069756,1.3406886089547502e-75
2007-10-01,LinearRegression,0.3300315669173305,5.1111685019431356e-33
2007-11-01,AdaBoost,0.3367259931658869,6.286164288098538e-34
2007-11-01,CTEF,0.38465953695872346,1.6782664547520555e-44
2007-11-01,DecisionTree,0.30118577075098807,1.0105896062962722e-80
2007-11-01,LinearRegression,0.41082980669411046,3.0893595433395766e-51
2007-12-01,AdaBoost,0.4783273151376681,1.981867147982096e-72
2007-12-01,CTEF,0.386333868872849,1.8319530382611002e-44
2007-12-01,DecisionTree,0.2921295944378214,4.841354340015164e-76
2007-12-01,LinearRegression,0.41581178375955935,4.595908154327523e-52
2008-01-01,AdaBoost,0.16048411024752282,4.195798468894541e-09
2008-01-01,CTEF,0.22086988160935975,6.9460947915738106e-15
2008-01-01,DecisionTree,0.12424963640425188,6.716637911298517e-06
2008-01-01,LinearRegression,0.18765769967916027,4.558793174388193e-11
2008-02-01,AdaBoost,0.3904213133015538,7.139038299584764e-48
2008-02-01,CTEF,0.39542113578455484,3.177677423638161e-46
2008-02-01,DecisionTree,0.42378906175077385,1.479598516399334e-70
2008-02-01,LinearRegression,0.2641241558236471,2.1631534261514756e-20
2008-03-01,AdaBoost,0.32181931149380316,3.0122171261082782e-31
2008-03-01,CTEF,0.33773320039409566,1.2533155899077806e-33
2008-03-01,DecisionTree,0.2884911750039254,4.5160909118742425e-25
2008-03-01,LinearRegression,0.39776845834593544,2.2745050190070065e-47
2008-04-01,AdaBoost,0.31876204612548614,2.8175671707925023e-31
2008-04-01,CTEF,0.2854478922630143,5.0827225398609755e-24
2008-04-01,DecisionTree,0.30429341564292517,1.4785733549532302e-29
2008-04-01,LinearRegression,0.21702260845273413,3.029510785407001e-14
2008-05-01,AdaBoost,0.35701223711652486,5.340246681930623e-37
2008-05-01,CTEF,0.41222756627353085,1.0282040706467704e-49
2008-05-01,DecisionTree,0.30333214377623885,2.6941837480498863e-28
2008-05-01,LinearRegression,0.3054728721111732,1.0597598885928488e-26
2008-06-01,AdaBoost,0.5424278161460815,1.2961809917615108e-108
2008-06-01,CTEF,0.5333303592979537,2.1077849038945985e-94
2008-06-01,DecisionTree,0.3329024001791136,1.8899419753307794e-84
2008-06-01,LinearRegression,0.5166743451271597,2.424956701723765e-87
2008-07-01,AdaBoost,0.21804630948225984,4.3381772889748795e-15
2008-07-01,CTEF,0.1786256197716842,1.9496742199431727e-10
2008-07-01,DecisionTree,0.20441042986104085,2.0347709279610755e-13
2008-07-01,LinearRegression,0.2331552410699827,5.777392814282757e-17
2008-08-01,AdaBoost,0.1370745508871549,2.22984911063415e-06
2008-08-01,CTEF,0.20860091552300564,4.986400867682598e-13
2008-08-01,DecisionTree,0.22359586346252142,5.7311161226586686e-15
2008-08-01,LinearRegression,0.3541809782736049,2.1548340243988615e-36
2008-09-01,AdaBoost,0.4168411859103724,2.964158999188328e-54
2008-09-01,CTEF,0.1760165653420193,7.962295461698752e-10
2008-09-01,DecisionTree,0.3167208543145993,1.885038009816333e-50
2008-09-01,LinearRegression,0.4427982611775216,2.8867049367000913e-60
2008-10-01,AdaBoost,0.4407632372438159,3.697018298833174e-62
2008-10-01,CTEF,0.3200844592249952,9.945673014245362e-31
2008-10-01,DecisionTree,0.4233107657608104,7.234086562300734e-68
2008-10-01,LinearRegression,0.42115544753538176,1.0377667584528293e-54
2008-11-01,AdaBoost,0.5048706614395359,2.6240793051327094e-84
2008-11-01,CTEF,0.3465948008870667,3.060624462108563e-36
2008-11-01,DecisionTree,0.44350850609969794,1.4520200097886732e-75
2008-11-01,LinearRegression,0.47669760712608106,1.5847221920892133e-72
2008-12-01,AdaBoost,0.26845752035723514,2.0459863182449562e-22
2008-12-01,CTEF,0.3085130125987966,1.450241585316247e-28
2008-12-01,DecisionTree,0.29305165414199863,8.60443025840276e-31
2008-12-01,LinearRegression,0.2729710388289454,2.083626890147951e-22
2009-01-01,AdaBoost,0.3746529866641979,2.5776219827275298e-42
2009-01-01,CTEF,0.3219271396316012,3.137462657447632e-30
2009-01-01,DecisionTree,0.3656395414493377,1.8874412227327488e-47
2009-01-01,LinearRegression,0.27822223849788497,1.3118067800090736e-22
2009-02-01,AdaBoost,0.38749857133825916,7.728066237688916e-46
2009-02-01,CTEF,0.3182361738748476,5.6089078916716434e-30
2009-02-01,DecisionTree,0.35800034398512814,5.440878357837857e-46
2009-02-01,LinearRegression,0.3288742677096246,4.973557850972875e-32
2009-03-01,AdaBoost,0.2448440528283732,3.7660843704951806e-18
2009-03-01,CTEF,0.18840424346451026,6.096602796753943e-11
2009-03-01,DecisionTree,0.297426151279447,9.172217251627275e-76
2009-03-01,LinearRegression,0.2785562220847041,1.085107517697917e-22
2009-04-01,AdaBoost,0.2345165113342455,2.3772675898301743e-17
2009-04-01,CTEF,0.1434284226802401,7.682703621623076e-07
2009-04-01,DecisionTree,0.2999784961651493,1.63064539606873e-76
2009-04-01,LinearRegression,0.2271558402852518,2.663891184405552e-15
2009-05-01,AdaBoost,0.3024151744695877,4.883536066482449e-28
2009-05-01,CTEF,0.2891092822339117,2.402203333443062e-24
2009-05-01,DecisionTree,0.32069360640687267,8.362850841257426e-51
2009-05-01,LinearRegression,0.2510321201240662,1.6722412934259301e-18
2009-06-01,AdaBoost,0.33777187092869027,1.695784009029863e-35
2009-06-01,CTEF,0.36657597749049814,9.592086461214216e-40
2009-06-01,DecisionTree,0.29295017172410975,2.110236818434491e-73
2009-06-01,LinearRegression,0.307441436111888,1.0832946251463043e-27
2009-07-01,AdaBoost,0.1996507476853111,1.2058064285869304e-12
2009-07-01,CTEF,0.24506639367585073,8.766551249742393e-18
2009-07-01,DecisionTree,0.2958607695775993,5.213389514612321e-75
2009-07-01,LinearRegression,0.28036914415938646,4.8604832005247626e-23
2009-08-01,AdaBoost,0.41795619548999197,1.8874032226119417e-54
2009-08-01,CTEF,0.2719484402004391,1.7828582424455624e-21
2009-08-01,DecisionTree,0.3115221586013122,8.386467410731782e-80
2009-08-01,LinearRegression,0.4218048982053132,5.936885957931982e-53
2009-09-01,AdaBoost,0.2975790394497926,2.01832737756243e-25
2009-09-01,CTEF,0.21407046270449465,1.608856784720376e-13
2009-09-01,DecisionTree,0.31517512170082507,7.488276014597678e-81
2009-09-01,LinearRegression,0.280812022243256,1.3611507167166386e-22
2009-10-01,AdaBoost,0.27273852945984534,1.3617178917169996e-21
2009-10-01,CTEF,0.4136612641901428,5.81757097943733e-50
2009-10-01,DecisionTree,0.3124748823518038,9.850300318359159e-79
2009-10-01,LinearRegression,0.3160992939551929,1.8088897642699602e-28
2009-11-01,AdaBoost,0.25815608301099013,3.0578262313205575e-20
2009-11-01,CTEF,0.2979910047253799,7.826409492024113e-26
2009-11-01,DecisionTree,0.3094224702536747,1.230429547968034e-78
