DATE,MODEL,IC,T
2004-11-01,AdaBoost,0.32167421812624264,1.009031562092498e-29
2004-11-01,CTEF,0.3467964795221541,2.6098424316724524e-34
2004-11-01,DecisionTree,0.3061954897758607,1.2685840744320244e-74
2004-11-01,KNN,0.3024392150001315,5.242642999490558e-26
2004-11-01,LinearRegression,0.3134505048284578,6.24504844865526e-28
2004-12-01,AdaBoost,0.2651085341673288,1.2168365498624712e-20
2004-12-01,CTEF,0.24331274622001275,3.0711593458595497e-17
2004-12-01,DecisionTree,0.3051892052762313,7.114467220546009e-78
2004-12-01,KNN,0.3148638911355465,1.760137304450039e-28
2004-12-01,LinearRegression,0.25001792951175267,3.832890967288464e-18
2005-01-01,AdaBoost,0.40721433230150256,4.967865053637683e-49
2005-01-01,CTEF,0.4838774529345816,6.190780042640817e-71
2005-01-01,DecisionTree,0.3097282824680196,2.2545093440828038e-80
2005-01-01,KNN,0.3218850676557584,1.492078252866624e-29
2005-01-01,LinearRegression,0.4161004264305313,1.4428979652204408e-50
2005-02-01,AdaBoost,0.36856491693625454,3.530188612157043e-40
2005-02-01,CTEF,0.3777778069388279,7.681570471474265e-42
2005-02-01,DecisionTree,0.30835056930663995,3.907204321884982e-81
2005-02-01,KNN,0.36051019269770107,6.590968485155867e-38
2005-02-01,LinearRegression,0.367074924714654,2.3001171976187504e-39
2005-03-01,AdaBoost,0.3344861337700469,9.094530969840101e-34
2005-03-01,CTEF,0.2834802507242538,3.224272340637651e-23
2005-03-01,DecisionTree,0.3135274800244212,7.284028194228449e-84
2005-03-01,KNN,0.326834080000409,7.908432149840078e-31
2005-03-01,LinearRegression,0.3771531896378876,1.8358955886106848e-41
2005-04-01,AdaBoost,0.2630992467027684,1.141826294741093e-20
2005-04-01,CTEF,0.3047001133066163,4.279409512015747e-27
2005-04-01,DecisionTree,0.30500531735652403,1.0896299065910418e-79
2005-04-01,KNN,0.3833362866842447,1.9265087416702644e-43
2005-04-01,LinearRegression,0.35058302531853563,5.0983336323943156e-36
2005-05-01,AdaBoost,0.24037574302360323,1.2058584208583233e-16
2005-05-01,CTEF,0.28570395294553896,7.325958604484622e-23
2005-05-01,DecisionTree,0.30348282729204346,6.275042515672981e-75
2005-05-01,KNN,0.2804763076950889,4.855785847595749e-22
2005-05-01,LinearRegression,0.24398268509135687,7.150118426709364e-17
2005-06-01,AdaBoost,0.36699146572817176,9.36007651310333e-40
2005-06-01,CTEF,0.37011641875996015,7.811076168115927e-40
2005-06-01,DecisionTree,0.30706172177579816,3.1312542456947445e-80
2005-06-01,KNN,0.3896677711282557,2.1396778232134895e-44
2005-06-01,LinearRegression,0.3132156789284818,2.9039225217475565e-28
2005-07-01,AdaBoost,0.24866160396579662,1.1655331004479746e-18
2005-07-01,CTEF,0.3026724522500467,1.0401240523241866e-26
2005-07-01,DecisionTree,0.29654406269978,7.40566086399342e-75
2005-07-01,KNN,0.3319477198350589,3.614780759817513e-32
2005-07-01,LinearRegression,0.2006777626462749,3.136370945437224e-12
2005-08-01,AdaBoost,0.3017326364500494,6.945390093405426e-27
2005-08-01,CTEF,0.34020054124360627,6.327423101763668e-34
2005-08-01,DecisionTree,0.3109024959891556,6.543580767897601e-81
2005-08-01,KNN,0.34846082180657373,1.261833298026998e-35
2005-08-01,LinearRegression,0.30185513849180623,1.2638358900354192e-26
2005-09-01,AdaBoost,0.4333344271318041,1.3301123533070173e-56
2005-09-01,CTEF,0.3968149538368277,1.8609651395122514e-46
2005-09-01,DecisionTree,0.3174430610491989,5.345688665578366e-84
2005-09-01,KNN,0.3909608106787887,5.5020311530429567e-45
2005-09-01,LinearRegression,0.35889389152612317,1.4575560170441087e-37
2005-10-01,AdaBoost,0.2420128231976104,1.264993430298828e-17
2005-10-01,CTEF,0.28731753202630755,2.209890917897328e-24
2005-10-01,DecisionTree,0.3106206111536844,1.233391719464844e-81
2005-10-01,KNN,0.27419065516653,3.115745421587188e-22
2005-10-01,LinearRegression,0.25287110786977807,5.151818670773679e-19
2005-11-01,AdaBoost,0.33904592537692113,6.2799495429560645e-34
2005-11-01,CTEF,0.29878621821464096,8.458395678360635e-26
2005-11-01,DecisionTree,0.30782854618654887,6.082596242636629e-78
2005-11-01,KNN,0.26914130332966485,5.202022785076937e-21
2005-11-01,LinearRegression,0.2488081282063543,4.535368067803077e-18
2005-12-01,AdaBoost,0.3999970592264246,7.326293360390395e-48
2005-12-01,CTEF,0.33967419382994496,1.6850206824988296e-33
2005-12-01,DecisionTree,0.34617829939018735,1.3565983315396437e-57
2005-12-01,KNN,0.32084043031452414,8.269499537464382e-30
2005-12-01,LinearRegression,0.25377538751399387,8.4000863286909985e-19
2006-01-01,AdaBoost,0.41944015516452127,2.9605629639467618e-52
2006-01-01,CTEF,0.3405468280439542,2.7390264716590147e-33
2006-01-01,DecisionTree,0.30946818765738004,8.967197506535475e-79
2006-01-01,KNN,0.30733337926959975,4.933249365889513e-27
2006-01-01,LinearRegression,0.32543828997018015,2.4783076862675506e-30
2006-02-01,AdaBoost,0.19300510495842818,1.6924022645249927e-11
2006-02-01,CTEF,0.3041241266083687,9.223753632893073e-27
2006-02-01,DecisionTree,0.3091962458443171,1.7000716954289657e-79
2006-02-01,KNN,0.23619518672628606,2.153600607293782e-16
2006-02-01,LinearRegression,0.2896245848643688,2.832463894766084e-24
2006-03-01,AdaBoost,0.40596522730487516,1.6573039189633052e-48
2006-03-01,CTEF,0.28698537494296106,1.2719771783046947e-23
2006-03-01,DecisionTree,0.3137730471122095,4.6852239098434715e-81
2006-03-01,KNN,0.413471341816013,4.1068093085492264e-50
2006-03-01,LinearRegression,0.2941659836000581,8.738382793140191e-25
2006-04-01,AdaBoost,0.3228335775195392,6.917145432708166e-30
2006-04-01,CTEF,0.40253428384335654,5.096023025364803e-47
2006-04-01,DecisionTree,0.31877964379763263,7.181730713965479e-84
2006-04-01,KNN,0.3221511097924598,1.5372459576120715e-29
2006-04-01,LinearRegression,0.3430830593703643,1.395034076743637e-33
2006-05-01,AdaBoost,0.2039482310929781,1.7462771332803989e-12
2006-05-01,CTEF,0.31359381684395277,2.8334573683610908e-28
2006-05-01,DecisionTree,0.3152237625401847,2.669241285626241e-82
2006-05-01,KNN,0.2698955150685006,5.192577826564681e-21
2006-05-01,LinearRegression,0.3189495261006405,3.096765573522703e-29
2006-06-01,AdaBoost,0.3372580565422546,3.334504545305258e-33
2006-06-01,CTEF,0.3536677941573517,3.883420469422859e-36
2006-06-01,DecisionTree,0.3179595776819598,1.3006664014204306e-83
2006-06-01,KNN,0.3116552447371611,6.751432607546288e-28
2006-06-01,LinearRegression,0.3893483137957496,3.28982863643602e-44
2006-07-01,AdaBoost,0.25921609636167914,2.245905903615593e-20
2006-07-01,CTEF,0.31503967139432787,2.801117433375156e-29
2006-07-01,DecisionTree,0.3094783824567831,3.634342743669868e-80
2006-07-01,KNN,0.28728435453704043,2.4472545691241117e-24
2006-07-01,LinearRegression,0.395790825967436,4.450006187447877e-47
2006-08-01,AdaBoost,0.2037911373079016,6.879753115622582e-13
2006-08-01,CTEF,0.15859708333760486,4.988641999401722e-08
2006-08-01,DecisionTree,0.29790530412497307,2.86306708679492e-76
2006-08-01,KNN,0.24121093156939383,5.472862587688902e-17
2006-08-01,LinearRegression,0.25494332507641865,7.175883885313888e-19
2006-09-01,AdaBoost,0.2842128250709014,3.1293741765137476e-28
2006-09-01,CTEF,0.2546042102524834,1.2143009830305576e-18
2006-09-01,DecisionTree,0.29833621307699704,1.6366195777986734e-75
2006-09-01,KNN,0.3123823734112046,8.67225980652686e-28
2006-09-01,LinearRegression,0.34591244977547975,3.5927122201727034e-34
2006-10-01,AdaBoost,0.2547616816425075,2.828313384483921e-20
2006-10-01,CTEF,0.28146027850774996,2.9364956072310654e-23
2006-10-01,DecisionTree,0.2944769543598297,1.4006561826321046e-75
2006-10-01,KNN,0.26485032258127694,1.1867420053320086e-20
2006-10-01,LinearRegression,0.2762045159951826,2.0941272537468391e-22
2006-11-01,AdaBoost,0.33921332472523474,8.033301803337921e-35
2006-11-01,CTEF,0.2887910758635769,3.118128448674856e-24
2006-11-01,DecisionTree,0.3029452876708402,2.000794801020739e-79
2006-11-01,KNN,0.33994348047157924,1.3103360740250799e-33
2006-11-01,LinearRegression,0.24549781086041314,1.0730197623451389e-17
2006-12-01,AdaBoost,0.3636673672417325,1.7850059341613348e-39
2006-12-01,CTEF,0.31556231493200965,6.064289829709465e-29
2006-12-01,DecisionTree,0.28604278352867035,6.734844728991852e-70
2006-12-01,KNN,0.2312753896573054,7.850957914009465e-16
2006-12-01,LinearRegression,0.4092248336708896,9.862736537164026e-50
2007-01-01,AdaBoost,0.25128487714821796,1.6798888439590166e-18
2007-01-01,CTEF,0.25342903366721714,1.4269346761711173e-18
2007-01-01,DecisionTree,0.2483683271493151,2.646024853674121e-24
2007-01-01,KNN,0.31302891175462744,4.650440548803858e-28
2007-01-01,LinearRegression,0.21814004312763344,5.136726556832748e-14
2007-02-01,AdaBoost,0.34916001457359414,1.2021569315376165e-35
2007-02-01,CTEF,0.3051512721407563,1.1282755242056247e-26
2007-02-01,DecisionTree,0.2957258906019493,1.2512471920976724e-77
2007-02-01,KNN,0.2910934849527209,2.798128250432143e-24
2007-02-01,LinearRegression,0.3156452187342648,1.5940162847522315e-28
2007-03-01,AdaBoost,0.2788875605638681,7.640544222418025e-23
2007-03-01,CTEF,0.3305617090420103,1.164483378022554e-31
2007-03-01,DecisionTree,0.3063562442604882,1.378907058437803e-32
